"","Trials","ProbR","ID","role","cond","reward","choise","partner.choise","sender.dec","receiver.dec","phase","onset","state","event","image_name"
"30",10,15,"s59B","receiver","comp",0,2,1,"truth","doubt","FB",219.1981,"feedback",30,"s59B+beta+event_030+tlrc"
"31",11,60,"s59B","sender","coop",100,2,2,"truth","trust","1",228.2061,"active",31,"s59B+beta+event_031+tlrc"
"32",11,60,"s59B","sender","coop",100,2,2,"truth","trust","2",235.2061,"waiting",32,"s59B+beta+event_032+tlrc"
"33",11,60,"s59B","sender","coop",100,2,2,"truth","trust","FB",242.2061,"feedback",33,"s59B+beta+event_033+tlrc"
"34",12,20,"s59B","sender","comp",150,1,2,"truth","doubt","1",251.2146,"active",34,"s59B+beta+event_034+tlrc"
"35",12,20,"s59B","sender","comp",150,1,2,"truth","doubt","2",258.2146,"waiting",35,"s59B+beta+event_035+tlrc"
"36",12,20,"s59B","sender","comp",150,1,2,"truth","doubt","FB",265.2146,"feedback",36,"s59B+beta+event_036+tlrc"
"37",13,80,"s59B","receiver","coop",100,2,2,"truth","trust","1",275.2228,"waiting",37,"s59B+beta+event_037+tlrc"
"38",13,80,"s59B","receiver","coop",100,2,2,"truth","trust","2",282.2228,"active",38,"s59B+beta+event_038+tlrc"
"39",13,80,"s59B","receiver","coop",100,2,2,"truth","trust","FB",289.2228,"feedback",39,"s59B+beta+event_039+tlrc"
"40",14,40,"s59B","receiver","comp",0,2,2,"lie","trust","1",299.231,"waiting",40,"s59B+beta+event_040+tlrc"
"41",14,40,"s59B","receiver","comp",0,2,2,"lie","trust","2",306.231,"active",41,"s59B+beta+event_041+tlrc"
"42",14,40,"s59B","receiver","comp",0,2,2,"lie","trust","FB",313.231,"feedback",42,"s59B+beta+event_042+tlrc"
"43",15,30,"s59B","sender","coop",100,1,1,"truth","trust","1",320.2396,"active",43,"s59B+beta+event_043+tlrc"
"44",15,30,"s59B","sender","coop",100,1,1,"truth","trust","2",327.2396,"waiting",44,"s59B+beta+event_044+tlrc"
"45",15,30,"s59B","sender","coop",100,1,1,"truth","trust","FB",334.2396,"feedback",45,"s59B+beta+event_045+tlrc"
"46",16,10,"s59B","sender","comp",0,1,1,"truth","trust","1",345.2475,"active",46,"s59B+beta+event_046+tlrc"
"47",16,10,"s59B","sender","comp",0,1,1,"truth","trust","2",352.2475,"waiting",47,"s59B+beta+event_047+tlrc"
"48",16,10,"s59B","sender","comp",0,1,1,"truth","trust","FB",359.2475,"feedback",48,"s59B+beta+event_048+tlrc"
"49",17,80,"s59B","receiver","coop",0,2,2,"truth","trust","1",369.2563,"waiting",49,"s59B+beta+event_049+tlrc"
"50",17,80,"s59B","receiver","coop",0,2,2,"truth","trust","2",376.2563,"active",50,"s59B+beta+event_050+tlrc"
"51",17,80,"s59B","receiver","coop",0,2,2,"truth","trust","FB",383.2563,"feedback",51,"s59B+beta+event_051+tlrc"
"52",18,75,"s59B","receiver","comp",0,1,2,"truth","doubt","1",388.2642,"waiting",52,"s59B+beta+event_052+tlrc"
"53",18,75,"s59B","receiver","comp",0,1,2,"truth","doubt","2",395.2642,"active",53,"s59B+beta+event_053+tlrc"
"54",18,75,"s59B","receiver","comp",0,1,2,"truth","doubt","FB",402.2642,"feedback",54,"s59B+beta+event_054+tlrc"
"55",19,65,"s59B","sender","coop",0,2,2,"truth","trust","1",410.2722,"active",55,"s59B+beta+event_055+tlrc"
"56",19,65,"s59B","sender","coop",0,2,2,"truth","trust","2",417.2722,"waiting",56,"s59B+beta+event_056+tlrc"
"57",19,65,"s59B","sender","coop",0,2,2,"truth","trust","FB",424.2722,"feedback",57,"s59B+beta+event_057+tlrc"
"58",20,60,"s59B","sender","comp",0,1,2,"lie","doubt","1",434.2814,"active",58,"s59B+beta+event_058+tlrc"
"59",20,60,"s59B","sender","comp",0,1,2,"lie","doubt","2",441.2814,"waiting",59,"s59B+beta+event_059+tlrc"
"60",20,60,"s59B","sender","comp",0,1,2,"lie","doubt","FB",448.2814,"feedback",60,"s59B+beta+event_060+tlrc"
"61",21,90,"s59B","receiver","coop",100,2,2,"truth","trust","1",455.2896,"waiting",61,"s59B+beta+event_061+tlrc"
"62",21,90,"s59B","receiver","coop",100,2,2,"truth","trust","2",462.2896,"active",62,"s59B+beta+event_062+tlrc"
"63",21,90,"s59B","receiver","coop",100,2,2,"truth","trust","FB",469.2896,"feedback",63,"s59B+beta+event_063+tlrc"
"64",22,90,"s59B","receiver","comp",150,2,1,"lie","doubt","1",477.2978,"waiting",64,"s59B+beta+event_064+tlrc"
"65",22,90,"s59B","receiver","comp",150,2,1,"lie","doubt","2",484.2978,"active",65,"s59B+beta+event_065+tlrc"
"66",22,90,"s59B","receiver","comp",150,2,1,"lie","doubt","FB",491.2978,"feedback",66,"s59B+beta+event_066+tlrc"
"67",23,15,"s59B","sender","coop",100,1,1,"truth","trust","1",499.3061,"active",67,"s59B+beta+event_067+tlrc"
"68",23,15,"s59B","sender","coop",100,1,1,"truth","trust","2",506.3061,"waiting",68,"s59B+beta+event_068+tlrc"
"69",23,15,"s59B","sender","coop",100,1,1,"truth","trust","FB",513.3061,"feedback",69,"s59B+beta+event_069+tlrc"
"70",24,25,"s59B","sender","comp",150,2,2,"lie","trust","1",521.3141,"active",70,"s59B+beta+event_070+tlrc"
"71",24,25,"s59B","sender","comp",150,2,2,"lie","trust","2",528.3141,"waiting",71,"s59B+beta+event_071+tlrc"
"72",24,25,"s59B","sender","comp",150,2,2,"lie","trust","FB",535.3141,"feedback",72,"s59B+beta+event_072+tlrc"
"73",25,70,"s59B","receiver","coop",100,2,2,"truth","trust","1",543.3225,"waiting",73,"s59B+beta+event_073+tlrc"
"74",25,70,"s59B","receiver","coop",100,2,2,"truth","trust","2",550.3225,"active",74,"s59B+beta+event_074+tlrc"
"75",25,70,"s59B","receiver","coop",100,2,2,"truth","trust","FB",557.3225,"feedback",75,"s59B+beta+event_075+tlrc"
"76",26,35,"s59B","receiver","comp",0,2,1,"truth","doubt","1",563.3311,"waiting",76,"s59B+beta+event_076+tlrc"
"77",26,35,"s59B","receiver","comp",0,2,1,"truth","doubt","2",570.3311,"active",77,"s59B+beta+event_077+tlrc"
"78",26,35,"s59B","receiver","comp",0,2,1,"truth","doubt","FB",577.3311,"feedback",78,"s59B+beta+event_078+tlrc"
"79",27,40,"s59B","sender","coop",100,1,1,"truth","trust","1",583.3392,"active",79,"s59B+beta+event_079+tlrc"
"80",27,40,"s59B","sender","coop",100,1,1,"truth","trust","2",590.3392,"waiting",80,"s59B+beta+event_080+tlrc"
"81",27,40,"s59B","sender","coop",100,1,1,"truth","trust","FB",597.3392,"feedback",81,"s59B+beta+event_081+tlrc"
"82",28,35,"s59B","sender","comp",150,2,1,"lie","doubt","1",604.3473,"active",82,"s59B+beta+event_082+tlrc"
"83",28,35,"s59B","sender","comp",150,2,1,"lie","doubt","2",611.3473,"waiting",83,"s59B+beta+event_083+tlrc"
"84",28,35,"s59B","sender","comp",150,2,1,"lie","doubt","FB",618.3473,"feedback",84,"s59B+beta+event_084+tlrc"
"85",29,40,"s59B","receiver","coop",100,1,1,"truth","trust","1",650.0009,"waiting",85,"s59B+beta+event_085+tlrc"
"86",29,40,"s59B","receiver","coop",100,1,1,"truth","trust","2",657.0009,"active",86,"s59B+beta+event_086+tlrc"
"87",29,40,"s59B","receiver","coop",100,1,1,"truth","trust","FB",664.0009,"feedback",87,"s59B+beta+event_087+tlrc"
"88",30,60,"s59B","receiver","comp",0,2,2,"truth","trust","1",670.0257,"waiting",88,"s59B+beta+event_088+tlrc"
"89",30,60,"s59B","receiver","comp",0,2,2,"truth","trust","2",677.0257,"active",89,"s59B+beta+event_089+tlrc"
"90",30,60,"s59B","receiver","comp",0,2,2,"truth","trust","FB",684.0257,"feedback",90,"s59B+beta+event_090+tlrc"
"91",31,40,"s59B","sender","coop",0,1,1,"truth","trust","1",690.0385,"active",91,"s59B+beta+event_091+tlrc"
"92",31,40,"s59B","sender","coop",0,1,1,"truth","trust","2",697.0385,"waiting",92,"s59B+beta+event_092+tlrc"
"93",31,40,"s59B","sender","coop",0,1,1,"truth","trust","FB",704.0385,"feedback",93,"s59B+beta+event_093+tlrc"
"94",32,70,"s59B","sender","comp",150,1,1,"lie","trust","1",714.0465,"active",94,"s59B+beta+event_094+tlrc"
"95",32,70,"s59B","sender","comp",150,1,1,"lie","trust","2",721.0465,"waiting",95,"s59B+beta+event_095+tlrc"
"96",32,70,"s59B","sender","comp",150,1,1,"lie","trust","FB",728.0465,"feedback",96,"s59B+beta+event_096+tlrc"
"97",33,10,"s59B","receiver","coop",100,1,1,"truth","trust","1",736.0551,"waiting",97,"s59B+beta+event_097+tlrc"
"98",33,10,"s59B","receiver","coop",100,1,1,"truth","trust","2",743.0551,"active",98,"s59B+beta+event_098+tlrc"
"99",33,10,"s59B","receiver","coop",100,1,1,"truth","trust","FB",750.0551,"feedback",99,"s59B+beta+event_099+tlrc"
"100",34,25,"s59B","receiver","comp",150,1,2,"lie","doubt","1",757.0635,"waiting",100,"s59B+beta+event_100+tlrc"
"101",34,25,"s59B","receiver","comp",150,1,2,"lie","doubt","2",764.0635,"active",101,"s59B+beta+event_101+tlrc"
"102",34,25,"s59B","receiver","comp",150,1,2,"lie","doubt","FB",771.0635,"feedback",102,"s59B+beta+event_102+tlrc"
"103",35,70,"s59B","sender","coop",100,2,2,"truth","trust","1",783.0714,"active",103,"s59B+beta+event_103+tlrc"
"104",35,70,"s59B","sender","coop",100,2,2,"truth","trust","2",790.0714,"waiting",104,"s59B+beta+event_104+tlrc"
"105",35,70,"s59B","sender","coop",100,2,2,"truth","trust","FB",797.0714,"feedback",105,"s59B+beta+event_105+tlrc"
"106",36,35,"s59B","sender","comp",0,2,1,"lie","doubt","1",805.08,"active",106,"s59B+beta+event_106+tlrc"
"107",36,35,"s59B","sender","comp",0,2,1,"lie","doubt","2",812.08,"waiting",107,"s59B+beta+event_107+tlrc"
"108",36,35,"s59B","sender","comp",0,2,1,"lie","doubt","FB",819.08,"feedback",108,"s59B+beta+event_108+tlrc"
"109",37,20,"s59B","receiver","coop",100,1,1,"truth","trust","1",827.0881,"waiting",109,"s59B+beta+event_109+tlrc"
"110",37,20,"s59B","receiver","coop",100,1,1,"truth","trust","2",834.0881,"active",110,"s59B+beta+event_110+tlrc"
"111",37,20,"s59B","receiver","coop",100,1,1,"truth","trust","FB",841.0881,"feedback",111,"s59B+beta+event_111+tlrc"
"112",38,80,"s59B","receiver","comp",0,1,2,"truth","doubt","1",850.0962,"waiting",112,"s59B+beta+event_112+tlrc"
"113",38,80,"s59B","receiver","comp",0,1,2,"truth","doubt","2",857.0962,"active",113,"s59B+beta+event_113+tlrc"
"114",38,80,"s59B","receiver","comp",0,1,2,"truth","doubt","FB",864.0962,"feedback",114,"s59B+beta+event_114+tlrc"
"115",39,90,"s59B","sender","coop",100,2,2,"truth","trust","1",872.1053,"active",115,"s59B+beta+event_115+tlrc"
"116",39,90,"s59B","sender","coop",100,2,2,"truth","trust","2",879.1053,"waiting",116,"s59B+beta+event_116+tlrc"
"117",39,90,"s59B","sender","coop",100,2,2,"truth","trust","FB",886.1053,"feedback",117,"s59B+beta+event_117+tlrc"
"118",40,30,"s59B","sender","comp",150,1,2,"truth","doubt","1",893.1135,"active",118,"s59B+beta+event_118+tlrc"
"119",40,30,"s59B","sender","comp",150,1,2,"truth","doubt","2",900.1135,"waiting",119,"s59B+beta+event_119+tlrc"
"120",40,30,"s59B","sender","comp",150,1,2,"truth","doubt","FB",907.1135,"feedback",120,"s59B+beta+event_120+tlrc"
"121",41,75,"s59B","receiver","coop",0,2,2,"truth","trust","1",916.1222,"waiting",121,"s59B+beta+event_121+tlrc"
"122",41,75,"s59B","receiver","coop",0,2,2,"truth","trust","2",923.1222,"active",122,"s59B+beta+event_122+tlrc"
"123",41,75,"s59B","receiver","coop",0,2,2,"truth","trust","FB",930.1222,"feedback",123,"s59B+beta+event_123+tlrc"
"124",42,85,"s59B","receiver","comp",150,2,2,"truth","trust","1",941.1311,"waiting",124,"s59B+beta+event_124+tlrc"
"125",42,85,"s59B","receiver","comp",150,2,2,"truth","trust","2",948.1311,"active",125,"s59B+beta+event_125+tlrc"
"126",42,85,"s59B","receiver","comp",150,2,2,"truth","trust","FB",955.1311,"feedback",126,"s59B+beta+event_126+tlrc"
"127",43,10,"s59B","sender","coop",100,1,1,"truth","trust","1",962.1392,"active",127,"s59B+beta+event_127+tlrc"
"128",43,10,"s59B","sender","coop",100,1,1,"truth","trust","2",969.1392,"waiting",128,"s59B+beta+event_128+tlrc"
"129",43,10,"s59B","sender","coop",100,1,1,"truth","trust","FB",976.1392,"feedback",129,"s59B+beta+event_129+tlrc"
"130",44,85,"s59B","sender","comp",150,2,1,"truth","doubt","1",984.1481,"active",130,"s59B+beta+event_130+tlrc"
"131",44,85,"s59B","sender","comp",150,2,1,"truth","doubt","2",991.1481,"waiting",131,"s59B+beta+event_131+tlrc"
"132",44,85,"s59B","sender","comp",150,2,1,"truth","doubt","FB",998.1481,"feedback",132,"s59B+beta+event_132+tlrc"
"133",45,15,"s59B","receiver","coop",100,1,1,"truth","trust","1",1007.1567,"waiting",133,"s59B+beta+event_133+tlrc"
"134",45,15,"s59B","receiver","coop",100,1,1,"truth","trust","2",1014.1567,"active",134,"s59B+beta+event_134+tlrc"
"135",45,15,"s59B","receiver","coop",100,1,1,"truth","trust","FB",1021.1567,"feedback",135,"s59B+beta+event_135+tlrc"
"136",46,65,"s59B","receiver","comp",0,1,1,"lie","trust","1",1030.1649,"waiting",136,"s59B+beta+event_136+tlrc"
"137",46,65,"s59B","receiver","comp",0,1,1,"lie","trust","2",1037.1649,"active",137,"s59B+beta+event_137+tlrc"
"138",46,65,"s59B","receiver","comp",0,1,1,"lie","trust","FB",1044.1649,"feedback",138,"s59B+beta+event_138+tlrc"
"139",47,25,"s59B","sender","coop",100,1,1,"truth","trust","1",1055.1739,"active",139,"s59B+beta+event_139+tlrc"
"140",47,25,"s59B","sender","coop",100,1,1,"truth","trust","2",1062.1739,"waiting",140,"s59B+beta+event_140+tlrc"
"141",47,25,"s59B","sender","coop",100,1,1,"truth","trust","FB",1069.1739,"feedback",141,"s59B+beta+event_141+tlrc"
"142",48,90,"s59B","sender","comp",150,2,1,"truth","doubt","1",1074.1818,"active",142,"s59B+beta+event_142+tlrc"
"143",48,90,"s59B","sender","comp",150,2,1,"truth","doubt","2",1081.1818,"waiting",143,"s59B+beta+event_143+tlrc"
"144",48,90,"s59B","sender","comp",150,2,1,"truth","doubt","FB",1088.1818,"feedback",144,"s59B+beta+event_144+tlrc"
"145",49,65,"s59B","receiver","coop",100,2,2,"truth","trust","1",1097.1925,"waiting",145,"s59B+beta+event_145+tlrc"
"146",49,65,"s59B","receiver","coop",100,2,2,"truth","trust","2",1104.1925,"active",146,"s59B+beta+event_146+tlrc"
"147",49,65,"s59B","receiver","coop",100,2,2,"truth","trust","FB",1111.1925,"feedback",147,"s59B+beta+event_147+tlrc"
"148",50,15,"s59B","receiver","comp",0,2,1,"truth","doubt","1",1118.2007,"waiting",148,"s59B+beta+event_148+tlrc"
"149",50,15,"s59B","receiver","comp",0,2,1,"truth","doubt","2",1125.2007,"active",149,"s59B+beta+event_149+tlrc"
"150",50,15,"s59B","receiver","comp",0,2,1,"truth","doubt","FB",1132.2007,"feedback",150,"s59B+beta+event_150+tlrc"
"151",51,60,"s59B","sender","coop",0,2,2,"truth","trust","1",1142.2091,"active",151,"s59B+beta+event_151+tlrc"
"152",51,60,"s59B","sender","coop",0,2,2,"truth","trust","2",1149.2091,"waiting",152,"s59B+beta+event_152+tlrc"
"153",51,60,"s59B","sender","coop",0,2,2,"truth","trust","FB",1156.2091,"feedback",153,"s59B+beta+event_153+tlrc"
"154",52,30,"s59B","sender","comp",150,2,2,"lie","trust","1",1166.2177,"active",154,"s59B+beta+event_154+tlrc"
"155",52,30,"s59B","sender","comp",150,2,2,"lie","trust","2",1173.2177,"waiting",155,"s59B+beta+event_155+tlrc"
"156",52,30,"s59B","sender","comp",150,2,2,"lie","trust","FB",1180.2177,"feedback",156,"s59B+beta+event_156+tlrc"
"157",53,75,"s59B","receiver","coop",100,2,2,"truth","trust","1",1190.2265,"waiting",157,"s59B+beta+event_157+tlrc"
"158",53,75,"s59B","receiver","coop",100,2,2,"truth","trust","2",1197.2265,"active",158,"s59B+beta+event_158+tlrc"
"159",53,75,"s59B","receiver","coop",100,2,2,"truth","trust","FB",1204.2265,"feedback",159,"s59B+beta+event_159+tlrc"
"160",54,80,"s59B","receiver","comp",0,1,1,"lie","trust","1",1213.2354,"waiting",160,"s59B+beta+event_160+tlrc"
"161",54,80,"s59B","receiver","comp",0,1,1,"lie","trust","2",1220.2354,"active",161,"s59B+beta+event_161+tlrc"
"162",54,80,"s59B","receiver","comp",0,1,1,"lie","trust","FB",1227.2354,"feedback",162,"s59B+beta+event_162+tlrc"
"163",55,20,"s59B","sender","coop",0,2,2,"lie","trust","1",1236.2444,"active",163,"s59B+beta+event_163+tlrc"
"164",55,20,"s59B","sender","coop",0,2,2,"lie","trust","2",1243.2444,"waiting",164,"s59B+beta+event_164+tlrc"
"165",55,20,"s59B","sender","coop",0,2,2,"lie","trust","FB",1250.2444,"feedback",165,"s59B+beta+event_165+tlrc"
"166",56,35,"s59B","sender","comp",150,2,1,"lie","doubt","1",1256.2533,"active",166,"s59B+beta+event_166+tlrc"
"167",56,35,"s59B","sender","comp",150,2,1,"lie","doubt","2",1263.2533,"waiting",167,"s59B+beta+event_167+tlrc"
"168",56,35,"s59B","sender","comp",150,2,1,"lie","doubt","FB",1270.2533,"feedback",168,"s59B+beta+event_168+tlrc"
"169",57,40,"s59B","receiver","coop",0,1,1,"truth","trust","1",1300.0008,"waiting",169,"s59B+beta+event_169+tlrc"
"170",57,40,"s59B","receiver","coop",0,1,1,"truth","trust","2",1307.0008,"active",170,"s59B+beta+event_170+tlrc"
"171",57,40,"s59B","receiver","coop",0,1,1,"truth","trust","FB",1314.0008,"feedback",171,"s59B+beta+event_171+tlrc"
"172",58,65,"s59B","receiver","comp",0,1,1,"lie","trust","1",1320.0212,"waiting",172,"s59B+beta+event_172+tlrc"
"173",58,65,"s59B","receiver","comp",0,1,1,"lie","trust","2",1327.0212,"active",173,"s59B+beta+event_173+tlrc"
"174",58,65,"s59B","receiver","comp",0,1,1,"lie","trust","FB",1334.0212,"feedback",174,"s59B+beta+event_174+tlrc"
"175",59,10,"s59B","sender","coop",100,1,1,"truth","trust","1",1343.035,"active",175,"s59B+beta+event_175+tlrc"
"176",59,10,"s59B","sender","coop",100,1,1,"truth","trust","2",1350.035,"waiting",176,"s59B+beta+event_176+tlrc"
"177",59,10,"s59B","sender","coop",100,1,1,"truth","trust","FB",1357.035,"feedback",177,"s59B+beta+event_177+tlrc"
"178",60,90,"s59B","sender","comp",150,2,1,"truth","doubt","1",1366.0429,"active",178,"s59B+beta+event_178+tlrc"
"179",60,90,"s59B","sender","comp",150,2,1,"truth","doubt","2",1373.0429,"waiting",179,"s59B+beta+event_179+tlrc"
"180",60,90,"s59B","sender","comp",150,2,1,"truth","doubt","FB",1380.0429,"feedback",180,"s59B+beta+event_180+tlrc"
"181",61,40,"s59B","receiver","coop",100,1,1,"truth","trust","1",1389.051,"waiting",181,"s59B+beta+event_181+tlrc"
"182",61,40,"s59B","receiver","coop",100,1,1,"truth","trust","2",1396.051,"active",182,"s59B+beta+event_182+tlrc"
"183",61,40,"s59B","receiver","coop",100,1,1,"truth","trust","FB",1403.051,"feedback",183,"s59B+beta+event_183+tlrc"
"184",62,70,"s59B","receiver","comp",0,1,2,"truth","doubt","1",1411.06,"waiting",184,"s59B+beta+event_184+tlrc"
"185",62,70,"s59B","receiver","comp",0,1,2,"truth","doubt","2",1418.06,"active",185,"s59B+beta+event_185+tlrc"
"186",62,70,"s59B","receiver","comp",0,1,2,"truth","doubt","FB",1425.06,"feedback",186,"s59B+beta+event_186+tlrc"
"187",63,25,"s59B","sender","coop",100,1,1,"truth","trust","1",1435.0682,"active",187,"s59B+beta+event_187+tlrc"
"188",63,25,"s59B","sender","coop",100,1,1,"truth","trust","2",1442.0682,"waiting",188,"s59B+beta+event_188+tlrc"
"189",63,25,"s59B","sender","coop",100,1,1,"truth","trust","FB",1449.0682,"feedback",189,"s59B+beta+event_189+tlrc"
"190",64,65,"s59B","sender","comp",150,2,1,"truth","doubt","1",1461.077,"active",190,"s59B+beta+event_190+tlrc"
"191",64,65,"s59B","sender","comp",150,2,1,"truth","doubt","2",1468.077,"waiting",191,"s59B+beta+event_191+tlrc"
"192",64,65,"s59B","sender","comp",150,2,1,"truth","doubt","FB",1475.077,"feedback",192,"s59B+beta+event_192+tlrc"
"193",65,35,"s59B","receiver","coop",0,1,1,"truth","trust","1",1483.085,"waiting",193,"s59B+beta+event_193+tlrc"
"194",65,35,"s59B","receiver","coop",0,1,1,"truth","trust","2",1490.085,"active",194,"s59B+beta+event_194+tlrc"
"195",65,35,"s59B","receiver","coop",0,1,1,"truth","trust","FB",1497.085,"feedback",195,"s59B+beta+event_195+tlrc"
"196",66,80,"s59B","receiver","comp",0,1,2,"truth","doubt","1",1504.093,"waiting",196,"s59B+beta+event_196+tlrc"
"197",66,80,"s59B","receiver","comp",0,1,2,"truth","doubt","2",1511.093,"active",197,"s59B+beta+event_197+tlrc"
"198",66,80,"s59B","receiver","comp",0,1,2,"truth","doubt","FB",1518.093,"feedback",198,"s59B+beta+event_198+tlrc"
"199",67,90,"s59B","sender","coop",100,2,2,"truth","trust","1",1529.1017,"active",199,"s59B+beta+event_199+tlrc"
"200",67,90,"s59B","sender","coop",100,2,2,"truth","trust","2",1536.1017,"waiting",200,"s59B+beta+event_200+tlrc"
"201",67,90,"s59B","sender","coop",100,2,2,"truth","trust","FB",1543.1017,"feedback",201,"s59B+beta+event_201+tlrc"
"202",68,85,"s59B","sender","comp",150,1,1,"lie","trust","1",1550.1143,"active",202,"s59B+beta+event_202+tlrc"
"203",68,85,"s59B","sender","comp",150,1,1,"lie","trust","2",1557.1143,"waiting",203,"s59B+beta+event_203+tlrc"
"204",68,85,"s59B","sender","comp",150,1,1,"lie","trust","FB",1564.1143,"feedback",204,"s59B+beta+event_204+tlrc"
"205",69,15,"s59B","receiver","coop",100,1,1,"truth","trust","1",1574.1225,"waiting",205,"s59B+beta+event_205+tlrc"
"206",69,15,"s59B","receiver","coop",100,1,1,"truth","trust","2",1581.1225,"active",206,"s59B+beta+event_206+tlrc"
"207",69,15,"s59B","receiver","coop",100,1,1,"truth","trust","FB",1588.1225,"feedback",207,"s59B+beta+event_207+tlrc"
"208",70,60,"s59B","receiver","comp",0,1,1,"lie","trust","1",1598.1314,"waiting",208,"s59B+beta+event_208+tlrc"
"209",70,60,"s59B","receiver","comp",0,1,1,"lie","trust","2",1605.1314,"active",209,"s59B+beta+event_209+tlrc"
"210",70,60,"s59B","receiver","comp",0,1,1,"lie","trust","FB",1612.1314,"feedback",210,"s59B+beta+event_210+tlrc"
"211",71,75,"s59B","sender","coop",100,2,2,"truth","trust","1",1619.1397,"active",211,"s59B+beta+event_211+tlrc"
"212",71,75,"s59B","sender","coop",100,2,2,"truth","trust","2",1626.1397,"waiting",212,"s59B+beta+event_212+tlrc"
"213",71,75,"s59B","sender","coop",100,2,2,"truth","trust","FB",1633.1397,"feedback",213,"s59B+beta+event_213+tlrc"
"214",72,20,"s59B","sender","comp",150,1,2,"truth","doubt","1",1643.1487,"active",214,"s59B+beta+event_214+tlrc"
"215",72,20,"s59B","sender","comp",150,1,2,"truth","doubt","2",1650.1487,"waiting",215,"s59B+beta+event_215+tlrc"
"216",72,20,"s59B","sender","comp",150,1,2,"truth","doubt","FB",1657.1487,"feedback",216,"s59B+beta+event_216+tlrc"
"217",73,75,"s59B","receiver","coop",0,2,2,"truth","trust","1",1665.1568,"waiting",217,"s59B+beta+event_217+tlrc"
